"areasymbol","cokey","claytotal_r","sandtotal_r","silttotal_r","hzdept_r","om_r","kffact","kwfact"
"CA612",27305970,15,65.9,19.1,18,0.2,0.32,0.17
"CA612",27305970,15,65.9,19.1,33,0.1,0.32,0.15
"CA612",27305970,13,67.4,19.6,46,0.1,0.32,0.1
"CA612",27305970,5,NA,NA,61,0,NA,NA
"CA612",27305971,NA,NA,NA,0,NA,NA,NA
"CA612",27305971,5,65.4,29.6,5,2.4,0.24,0.15
"CA612",27305971,8,69.3,22.7,18,0.7,0.24,0.15
"CA612",27305971,8,69.3,22.7,36,0.2,0.24,0.15
"CA612",27305971,10,66.9,23.1,56,0.1,0.28,0.17
"CA612",27305971,8,68.5,23.5,84,0.1,0.28,0.15
"CA612",27305971,5,65.6,29.4,112,0.1,0.32,0.32
"CA612",27305971,NA,NA,NA,168,NA,NA,NA
"CA612",27305976,22.5,39.8,37.7,0,2,0.37,0.37
"CA612",27305976,47.5,23.7,28.8,30,0.25,0.2,0.2
"CA612",27305982,22.5,39.8,37.7,0,2,0.37,0.37
"CA612",27305982,47.5,23.7,28.8,30,0.25,0.2,0.2
"CA612",27305988,22.5,39.8,37.7,0,2,0.37,0.37
"CA612",27305988,47.5,23.7,28.8,30,0.25,0.2,0.2
"CA612",27305994,55,17.1,27.9,0,2.5,0.24,0.24
"CA612",27305994,50,22.1,27.9,10,1,0.24,0.17
"CA612",27305994,45,26.1,28.9,28,0.8,0.28,0.28
"CA612",27305994,NA,NA,NA,43,NA,NA,NA
"CA612",27306003,NA,NA,NA,0,NA,NA,NA
"CA612",27306003,12,45,43,8,12,0.32,0.2
"CA612",27306003,13,45.4,41.6,10,6,0.32,0.17
"CA612",27306003,20,39.5,37.5,23,2,0.32,0.15
"CA612",27306003,25,39.5,37.5,48,2,0.32,0.15
"CA612",27306003,27,34.8,38.2,84,1.8,0.37,0.1
"CA612",27306003,30,33.5,36.5,117,0.2,0.37,0.05
"CA612",27306003,NA,NA,NA,132,NA,NA,NA
"CA612",27306004,NA,NA,NA,0,NA,NA,NA
"CA612",27306004,18,43.2,38.8,3,12,0.24,0.15
"CA612",27306004,25,38.5,36.5,8,6,0.2,0.05
"CA612",27306004,45,5.4,49.6,25,1.8,0.28,0.15
"CA612",27306004,50,5.4,44.6,53,1.5,0.24,0.15
"CA612",27306004,55,5.3,39.7,86,0.8,0.24,0.24
"CA612",27306004,45,5.3,49.7,150,0.7,0.28,0.28
"CA612",27306006,NA,NA,NA,0,NA,NA,NA
"CA612",27306006,23,18.2,58.4,5,9,0.37,0.37
"CA612",27306006,35,14.2,50.8,18,4.8,0.28,0.28
"CA612",27306006,40,17.2,43.1,33,0.69,0.28,0.2
"CA612",27306006,38,18.4,43.3,61,0.53,0.32,0.2
"CA612",27306006,35,22.6,42.3,86,0.29,0.37,0.15
"CA612",27306006,28,32.5,39.9,107,0.26,0.37,0.05
"CA612",27306006,NA,NA,NA,130,NA,NA,NA
"CA612",27306016,53,17.9,29.1,0,2,0.2,0.2
"CA612",27306016,53,3.1,43.9,25,1,0.28,0.28
"CA612",27306016,53,3.1,43.9,33,1,0.28,0.28
"CA612",27306016,9,33.3,57.7,53,0.5,0.64,0.64
"CA612",27306016,41,7.9,51.1,69,0.3,0.37,0.37
"CA612",27306016,39,18,43,81,0.2,0.37,0.37
"CA612",27306016,76,7.2,16.8,94,0.8,0.17,0.17
"CA612",27306016,64,10.8,25.2,140,0.2,0.2,0.2
"CA612",27306016,NA,NA,NA,160,NA,0.02,0.02
"CA612",27306016,40,30,30,165,0.2,0.24,0.24
"CA612",27306017,15,45,40,0,5.78,0.43,0.28
"CA612",27306017,19,32,49,3,0.83,0.49,0.28
"CA612",27306017,19,33,48,13,0.67,0.49,0.32
"CA612",27306017,19,32,49,23,0.67,0.49,0.24
"CA612",27306017,NA,NA,NA,36,NA,NA,NA
"CA612",27306018,26,31,43,0,9.4,0.32,0.2
"CA612",27306018,30,31,39,5,2.8,0.32,0.15
"CA612",27306018,34,30,36,15,1.9,0.28,0.1
"CA612",27306018,33,34,33,33,1.3,0.32,0.1
"CA612",27306018,31,46,23,53,0.85,0.32,0.1
"CA612",27306018,NA,NA,NA,79,NA,NA,NA
"CA612",27306019,15,42,43,0,3.48,0.37,0.17
"CA612",27306019,18,37,45,3,1.28,0.43,0.2
"CA612",27306019,NA,NA,NA,10,NA,NA,NA
"CA612",27306022,20,42.1,45,0,6,0.37,0.24
"CA612",27306022,22,41.1,45,10,1.2,0.49,0.32
"CA612",27306022,24,39.1,48,15,1,0.49,0.24
"CA612",27306022,26,38,48,25,0.5,0.49,0.2
"CA612",27306022,NA,NA,NA,38,NA,NA,NA
"CA612",27306022,NA,NA,NA,94,NA,NA,NA
"CA612",27306023,NA,0,0,0,NA,NA,NA
"CA612",27306023,16.7,36.5,46.8,1,7.3,0.28,0.17
"CA612",27306023,17,35,48,5,3.8,0.37,0.17
"CA612",27306023,19.6,33,47.4,15,1.6,0.43,0.43
"CA612",27306023,23.6,31.7,44.7,30,0.8,0.43,0.28
"CA612",27306023,21.5,28,50.5,58,0.7,0.49,0.28
"CA612",27306023,NA,0,0,79,0,NA,NA
"CA612",27306023,NA,0,0,107,0,NA,NA
"CA612",27306031,NA,0,0,0,NA,NA,NA
"CA612",27306031,16.7,36.5,46.8,1,7.3,0.28,0.17
"CA612",27306031,17,35,48,5,3.8,0.37,0.17
"CA612",27306031,19.6,33,47.4,15,1.6,0.43,0.43
"CA612",27306031,23.6,31.7,44.7,30,0.8,0.43,0.28
"CA612",27306031,21.5,28,50.5,58,0.7,0.49,0.28
"CA612",27306031,NA,0,0,79,0,NA,NA
"CA612",27306031,NA,0,0,107,0,NA,NA
"CA612",27306038,20,42.1,45,0,6,0.37,0.24
"CA612",27306038,22,41.1,45,10,1.2,0.49,0.32
"CA612",27306038,24,39.1,48,15,1,0.49,0.24
"CA612",27306038,26,38,48,25,0.5,0.49,0.2
"CA612",27306038,NA,NA,NA,38,NA,NA,NA
"CA612",27306038,NA,NA,NA,94,NA,NA,NA
"CA612",27306039,15,44.3,40.7,0,7,0.32,0.32
"CA612",27306039,20,42.1,37.9,3,4,0.32,0.32
"CA612",27306039,29,34,37,13,2,0.32,0.32
"CA612",27306039,32,34.8,33.2,23,1,0.32,0.32
"CA612",27306039,39,30.3,30.7,30,1,0.28,0.05
"CA612",27306039,52,21.3,26.7,64,0.5,0.24,0.02
"CA612",27306039,NA,NA,NA,81,NA,NA,NA
"CA612",27306040,18,43.2,38.8,0,4,0.32,0.32
"CA612",27306040,29,34,37,5,2,0.32,0.32
"CA612",27306040,43,27.6,29.4,20,1,0.24,0.24
"CA612",27306040,45,26.1,28.9,36,1,0.28,0.28
"CA612",27306040,40,30,30,51,0.5,0.32,0.32
"CA612",27306040,36,32.7,31.3,66,0.5,0.32,0.32
"CA612",27306040,NA,NA,NA,76,NA,NA,NA
"CA612",27306042,15,44.3,40.7,0,6,0.37,0.37
"CA612",27306042,17,43.3,39.7,5,1.2,0.43,0.43
"CA612",27306042,22,41.1,36.9,18,1,0.43,0.43
"CA612",27306042,24,39.1,36.9,25,0.6,0.43,0.43
"CA612",27306042,NA,NA,NA,41,0,NA,NA
"CA612",27306048,15,44.3,40.7,0,6,0.37,0.37
"CA612",27306048,17,43.3,39.7,5,1.2,0.43,0.43
"CA612",27306048,22,41.1,36.9,18,1,0.43,0.43
"CA612",27306048,24,39.1,36.9,25,0.6,0.43,0.43
"CA612",27306048,NA,NA,NA,41,0,NA,NA
"CA612",27306050,18,30.9,51.3,0,9.4,0.32,0.32
"CA612",27306050,16,33.6,50.7,5,3.2,0.37,0.37
"CA612",27306050,15,38.5,46.4,10,1.1,0.43,0.43
"CA612",27306050,18,37,45.2,28,0.6,0.49,0.49
"CA612",27306050,20,35.2,44.4,51,1.1,0.43,0.43
"CA612",27306050,NA,0,0,74,0,NA,NA
"CA612",27306055,26,31,43,0,9.4,0.32,0.2
"CA612",27306055,30,31,39,5,2.8,0.32,0.15
"CA612",27306055,34,30,36,15,1.9,0.28,0.1
"CA612",27306055,33,34,33,33,1.3,0.32,0.1
"CA612",27306055,31,46,23,53,0.85,0.32,0.1
"CA612",27306055,NA,NA,NA,79,NA,NA,NA
"CA612",27306056,15,42,43,0,3.48,0.37,0.17
"CA612",27306056,18,37,45,3,1.28,0.43,0.2
"CA612",27306056,NA,NA,NA,10,NA,NA,NA
"CA612",27306057,15,36,49,0,5.78,0.43,0.28
"CA612",27306057,19,32,49,3,0.83,0.49,0.28
"CA612",27306057,19,33,48,13,0.67,0.49,0.32
"CA612",27306057,19,32,49,23,0.67,0.49,0.24
"CA612",27306057,NA,NA,NA,36,NA,NA,NA
"CA612",27306060,17,43.3,39.7,0,5,0.37,0.37
"CA612",27306060,20,42.1,37.9,5,3,0.37,0.24
"CA612",27306060,25,38.5,36.5,15,1,0.43,0.1
"CA612",27306060,29,34,37,25,1,0.37,0.05
"CA612",27306060,NA,NA,NA,36,NA,NA,NA
"CA612",27306066,15,44.3,40.7,0,6,0.37,0.37
"CA612",27306066,17,43.3,39.7,5,1.2,0.43,0.43
"CA612",27306066,22,41.1,36.9,18,1,0.43,0.43
"CA612",27306066,24,39.1,36.9,25,0.6,0.43,0.43
"CA612",27306066,NA,NA,NA,41,0,NA,NA
"CA612",27306067,18,43.2,38.8,0,4,0.32,0.32
"CA612",27306067,29,34,37,5,2,0.32,0.32
"CA612",27306067,43,27.6,29.4,20,1,0.24,0.24
"CA612",27306067,45,26.1,28.9,36,1,0.28,0.28
"CA612",27306067,40,30,30,51,0.5,0.32,0.32
"CA612",27306067,36,32.7,31.3,66,0.5,0.32,0.32
"CA612",27306067,NA,NA,NA,76,NA,NA,NA
"CA612",27306072,NA,NA,NA,0,NA,NA,NA
"CA612",27306072,16,43.8,40.2,2,4,0.32,0.2
"CA612",27306072,19,42.7,38.3,13,2.5,0.32,0.17
"CA612",27306072,20,42.1,37.9,23,1.2,0.37,0.2
"CA612",27306072,21,41.6,37.4,38,0.8,0.37,0.2
"CA612",27306072,20,42.1,37.9,51,0.5,0.37,0.1
"CA612",27306072,17,43.3,39.7,69,0.3,0.43,0.02
"CA612",27306072,18,43.2,38.8,91,0.4,0.49,0.17
"CA612",27306072,NA,NA,NA,129,NA,NA,NA
"CA612",27306073,20,42.1,37.9,0,4,0.28,0.28
"CA612",27306073,22,41.1,36.9,5,2.5,0.32,0.32
"CA612",27306073,25,38.5,36.5,20,1.2,0.37,0.37
"CA612",27306073,30,17.4,52.6,38,0.8,0.49,0.49
"CA612",27306073,37,18.6,44.4,61,0.5,0.37,0.37
"CA612",27306073,NA,NA,NA,81,NA,NA,NA
"CA612",27306073,NA,NA,NA,119,NA,NA,NA
"CA612",27306073,NA,NA,NA,147,NA,NA,NA
"CA612",27306075,20,42.1,37.9,0,4,0.28,0.28
"CA612",27306075,22,41.1,36.9,5,2.5,0.32,0.32
"CA612",27306075,25,38.5,36.5,20,1.2,0.37,0.37
"CA612",27306075,30,17.4,52.6,38,0.8,0.49,0.49
"CA612",27306075,37,18.6,44.4,61,0.5,0.37,0.37
"CA612",27306075,NA,NA,NA,81,NA,NA,NA
"CA612",27306075,NA,NA,NA,119,NA,NA,NA
"CA612",27306075,NA,NA,NA,147,NA,NA,NA
"CA612",27306081,NA,NA,NA,0,NA,NA,NA
"CA612",27306081,16,43.8,40.2,2,4,0.32,0.2
"CA612",27306081,19,42.7,38.3,13,2.5,0.32,0.17
"CA612",27306081,20,42.1,37.9,23,1.2,0.37,0.2
"CA612",27306081,21,41.6,37.4,38,0.8,0.37,0.2
"CA612",27306081,20,42.1,37.9,51,0.5,0.37,0.1
"CA612",27306081,17,43.3,39.7,69,0.3,0.43,0.02
"CA612",27306081,18,43.2,38.8,91,0.4,0.49,0.17
"CA612",27306081,NA,NA,NA,129,NA,NA,NA
"CA612",27306082,NA,NA,NA,0,NA,NA,NA
"CA612",27306082,16,43.8,40.2,2,4,0.32,0.2
"CA612",27306082,19,42.7,38.3,13,2.5,0.32,0.17
"CA612",27306082,20,42.1,37.9,23,1.2,0.37,0.2
"CA612",27306082,21,41.6,37.4,38,0.8,0.37,0.2
"CA612",27306082,20,42.1,37.9,51,0.5,0.37,0.1
"CA612",27306082,17,43.3,39.7,69,0.3,0.43,0.02
"CA612",27306082,18,43.2,38.8,91,0.4,0.49,0.17
"CA612",27306082,NA,NA,NA,129,NA,NA,NA
"CA612",27306083,20,42.1,37.9,0,4,0.28,0.28
"CA612",27306083,22,41.1,36.9,5,2.5,0.32,0.32
"CA612",27306083,25,38.5,36.5,20,1.2,0.37,0.37
"CA612",27306083,30,17.4,52.6,38,0.8,0.49,0.49
"CA612",27306083,37,18.6,44.4,61,0.5,0.37,0.37
"CA612",27306083,NA,NA,NA,81,NA,NA,NA
"CA612",27306083,NA,NA,NA,119,NA,NA,NA
"CA612",27306083,NA,NA,NA,147,NA,NA,NA
"CA612",27306089,NA,NA,NA,0,NA,NA,NA
"CA612",27306089,16,43.8,40.2,2,4,0.32,0.2
"CA612",27306089,19,42.7,38.3,13,2.5,0.32,0.17
"CA612",27306089,20,42.1,37.9,23,1.2,0.37,0.2
"CA612",27306089,21,41.6,37.4,38,0.8,0.37,0.2
"CA612",27306089,20,42.1,37.9,51,0.5,0.37,0.1
"CA612",27306089,17,43.3,39.7,69,0.3,0.43,0.02
"CA612",27306089,18,43.2,38.8,91,0.4,0.49,0.17
"CA612",27306089,NA,NA,NA,129,NA,NA,NA
"CA612",27306090,20,42.1,37.9,0,4,0.28,0.28
"CA612",27306090,22,41.1,36.9,5,2.5,0.32,0.32
"CA612",27306090,25,38.5,36.5,20,1.2,0.37,0.37
"CA612",27306090,30,17.4,52.6,38,0.8,0.49,0.49
"CA612",27306090,37,18.6,44.4,61,0.5,0.37,0.37
"CA612",27306090,NA,NA,NA,81,NA,NA,NA
"CA612",27306090,NA,NA,NA,119,NA,NA,NA
"CA612",27306090,NA,NA,NA,147,NA,NA,NA
"CA612",27306096,NA,NA,0,0,NA,NA,NA
"CA612",27306096,20,42.1,48,3,3.1,0.32,0.32
"CA612",27306096,24,39.1,48,8,2.2,0.37,0.37
"CA612",27306096,26,38,48,18,1.4,0.43,0.43
"CA612",27306096,28,34.4,48,38,0.9,0.43,0.2
"CA612",27306096,29,34,45,56,0.6,0.37,0.17
"CA612",27306096,31,35.4,40,66,0.6,0.37,0.1
"CA612",27306096,28,34.4,43,79,0.4,0.37,0.1
"CA612",27306096,30,33.5,43,107,0.3,0.43,0.2
"CA612",27306096,NA,NA,NA,132,NA,NA,NA
"CA612",27306101,NA,NA,NA,0,NA,NA,NA
"CA612",27306101,14,44.8,41.2,3,3,0.28,0.15
"CA612",27306101,17,43.3,39.7,8,2,0.37,0.15
"CA612",27306101,20,42.1,37.9,15,1,0.37,0.15
"CA612",27306101,25,38.5,36.5,33,0.9,0.37,0.1
"CA612",27306101,33,34.4,32.6,61,0.6,0.28,0.1
"CA612",27306101,38,31.1,30.9,89,0.4,0.28,0.05
"CA612",27306101,NA,NA,NA,157,NA,NA,NA
"CA612",27306103,NA,NA,NA,0,NA,NA,NA
"CA612",27306103,14,44.8,41.2,3,3,0.28,0.15
"CA612",27306103,17,43.3,39.7,8,2,0.37,0.15
"CA612",27306103,20,42.1,37.9,15,1,0.37,0.15
"CA612",27306103,25,38.5,36.5,33,0.9,0.37,0.1
"CA612",27306103,33,34.4,32.6,61,0.6,0.28,0.1
"CA612",27306103,38,31.1,30.9,89,0.4,0.28,0.05
"CA612",27306103,NA,NA,NA,157,NA,NA,NA
"CA612",27306108,NA,NA,0,0,NA,NA,NA
"CA612",27306108,20,42.1,48,3,3.1,0.32,0.32
"CA612",27306108,24,39.1,48,8,2.2,0.37,0.37
"CA612",27306108,26,38,48,18,1.4,0.43,0.43
"CA612",27306108,28,34.4,48,38,0.9,0.43,0.2
"CA612",27306108,29,34,45,56,0.6,0.37,0.17
"CA612",27306108,31,35.4,40,66,0.6,0.37,0.1
"CA612",27306108,28,34.4,43,79,0.4,0.37,0.1
"CA612",27306108,30,33.5,43,107,0.3,0.43,0.2
"CA612",27306108,NA,NA,NA,132,NA,NA,NA
"CA612",27306110,NA,NA,0,0,NA,NA,NA
"CA612",27306110,20,42.1,48,3,3.1,0.32,0.32
"CA612",27306110,24,39.1,48,8,2.2,0.37,0.37
"CA612",27306110,26,38,48,18,1.4,0.43,0.43
"CA612",27306110,28,34.4,48,38,0.9,0.43,0.2
"CA612",27306110,29,34,45,56,0.6,0.37,0.17
"CA612",27306110,31,35.4,40,66,0.6,0.37,0.1
"CA612",27306110,28,34.4,43,79,0.4,0.37,0.1
"CA612",27306110,30,33.5,43,107,0.3,0.43,0.2
"CA612",27306110,NA,NA,NA,132,NA,NA,NA
"CA612",27306113,NA,NA,NA,0,NA,NA,NA
"CA612",27306113,14,44.8,41.2,3,3,0.28,0.15
"CA612",27306113,17,43.3,39.7,8,2,0.37,0.15
"CA612",27306113,20,42.1,37.9,15,1,0.37,0.15
"CA612",27306113,25,38.5,36.5,33,0.9,0.37,0.1
"CA612",27306113,33,34.4,32.6,61,0.6,0.28,0.1
"CA612",27306113,38,31.1,30.9,89,0.4,0.28,0.05
"CA612",27306113,NA,NA,NA,157,NA,NA,NA
"CA612",27306119,NA,NA,0,0,NA,NA,NA
"CA612",27306119,20,42.1,48,3,3.1,0.32,0.32
"CA612",27306119,24,39.1,48,8,2.2,0.37,0.37
"CA612",27306119,26,38,48,18,1.4,0.43,0.43
"CA612",27306119,28,34.4,48,38,0.9,0.43,0.2
"CA612",27306119,29,34,45,56,0.6,0.37,0.17
"CA612",27306119,31,35.4,40,66,0.6,0.37,0.1
"CA612",27306119,28,34.4,43,79,0.4,0.37,0.1
"CA612",27306119,30,33.5,43,107,0.3,0.43,0.2
"CA612",27306119,NA,NA,NA,132,NA,NA,NA
"CA612",27306121,NA,NA,NA,0,NA,NA,NA
"CA612",27306121,14,44.8,41.2,3,3,0.28,0.15
"CA612",27306121,17,43.3,39.7,8,2,0.37,0.15
"CA612",27306121,20,42.1,37.9,15,1,0.37,0.15
"CA612",27306121,25,38.5,36.5,33,0.9,0.37,0.1
"CA612",27306121,33,34.4,32.6,61,0.6,0.28,0.1
"CA612",27306121,38,31.1,30.9,89,0.4,0.28,0.05
"CA612",27306121,NA,NA,NA,157,NA,NA,NA
"CA612",27306123,NA,NA,NA,0,NA,NA,NA
"CA612",27306123,14,44.8,41.2,3,3,0.28,0.15
"CA612",27306123,17,43.3,39.7,8,2,0.37,0.15
"CA612",27306123,20,42.1,37.9,15,1,0.37,0.15
"CA612",27306123,25,38.5,36.5,33,0.9,0.37,0.1
"CA612",27306123,33,34.4,32.6,61,0.6,0.28,0.1
"CA612",27306123,38,31.1,30.9,89,0.4,0.28,0.05
"CA612",27306123,NA,NA,NA,157,NA,NA,NA
"CA612",27306124,NA,NA,0,0,NA,NA,NA
"CA612",27306124,20,42.1,48,3,3.1,0.32,0.32
"CA612",27306124,24,39.1,48,8,2.2,0.37,0.37
"CA612",27306124,26,38,48,18,1.4,0.43,0.43
"CA612",27306124,28,34.4,48,38,0.9,0.43,0.2
"CA612",27306124,29,34,45,56,0.6,0.37,0.17
"CA612",27306124,31,35.4,40,66,0.6,0.37,0.1
"CA612",27306124,28,34.4,43,79,0.4,0.37,0.1
"CA612",27306124,30,33.5,43,107,0.3,0.43,0.2
"CA612",27306124,NA,NA,NA,132,NA,NA,NA
"CA612",27306131,20,42.1,45,0,6,0.37,0.24
"CA612",27306131,22,41.1,45,10,1.2,0.49,0.32
"CA612",27306131,24,39.1,48,15,1,0.49,0.24
"CA612",27306131,26,38,48,25,0.5,0.49,0.2
"CA612",27306131,NA,NA,NA,38,NA,NA,NA
"CA612",27306131,NA,NA,NA,94,NA,NA,NA
"CA612",27306132,NA,0,0,0,NA,NA,NA
"CA612",27306132,16.7,36.5,46.8,1,7.3,0.28,0.17
"CA612",27306132,17,35,48,5,3.8,0.37,0.17
"CA612",27306132,19.6,33,47.4,15,1.6,0.43,0.43
"CA612",27306132,23.6,31.7,44.7,30,0.8,0.43,0.28
"CA612",27306132,21.5,28,50.5,58,0.7,0.49,0.28
"CA612",27306132,NA,0,0,79,0,NA,NA
"CA612",27306132,NA,0,0,107,0,NA,NA
"CA612",27306141,NA,0,0,0,NA,NA,NA
"CA612",27306141,16.7,36.5,46.8,1,7.3,0.28,0.17
"CA612",27306141,17,35,48,5,3.8,0.37,0.17
"CA612",27306141,19.6,33,47.4,15,1.6,0.43,0.43
"CA612",27306141,23.6,31.7,44.7,30,0.8,0.43,0.28
"CA612",27306141,21.5,28,50.5,58,0.7,0.49,0.28
"CA612",27306141,NA,0,0,79,0,NA,NA
"CA612",27306141,NA,0,0,107,0,NA,NA
"CA612",27306142,20,42.1,45,0,6,0.37,0.24
"CA612",27306142,22,41.1,45,10,1.2,0.49,0.32
"CA612",27306142,24,39.1,48,15,1,0.49,0.24
"CA612",27306142,26,38,48,25,0.5,0.49,0.2
"CA612",27306142,NA,NA,NA,38,NA,NA,NA
"CA612",27306142,NA,NA,NA,94,NA,NA,NA
"CA612",27306144,23,39.5,37.5,0,7,0.28,0.2
"CA612",27306144,25,38.5,36.5,5,4,0.28,0.2
"CA612",27306144,28,34.4,37.6,23,2,0.32,0.2
"CA612",27306144,31,35.4,33.6,36,1.2,0.32,0.2
"CA612",27306144,34,33.9,32.1,53,1,0.28,0.2
"CA612",27306144,36,32.7,31.3,71,0.6,0.28,0.2
"CA612",27306144,37,31.9,31.1,97,0.4,0.28,0.2
"CA612",27306144,39,30.3,30.7,130,0.2,0.28,0.1
"CA612",27306144,38,31.1,30.9,175,0.2,0.28,0.1
"CA612",27306152,23,39.5,37.5,0,7,0.28,0.2
"CA612",27306152,25,38.5,36.5,5,4,0.28,0.2
"CA612",27306152,28,34.4,37.6,23,2,0.32,0.2
"CA612",27306152,31,35.4,33.6,36,1.2,0.32,0.2
"CA612",27306152,34,33.9,32.1,53,1,0.28,0.2
"CA612",27306152,36,32.7,31.3,71,0.6,0.28,0.2
"CA612",27306152,37,31.9,31.1,97,0.4,0.28,0.2
"CA612",27306152,39,30.3,30.7,130,0.2,0.28,0.1
"CA612",27306152,38,31.1,30.9,175,0.2,0.28,0.1
"CA612",27306163,24,39.1,36.9,0,7,0.28,0.17
"CA612",27306163,26,38,36,10,3,0.28,0.2
"CA612",27306163,29,34,37,25,2,0.32,0.2
"CA612",27306163,35,33.3,31.7,46,1.5,0.28,0.2
"CA612",27306163,45,26.1,28.9,89,1,0.28,0.2
"CA612",27306163,NA,NA,NA,122,NA,NA,NA
"CA612",27306164,21,41.6,37.4,0,6,0.28,0.1
"CA612",27306164,23,39.5,37.5,5,2,0.37,0.15
"CA612",27306164,25,38.5,36.5,15,0.8,0.43,0.2
"CA612",27306164,NA,NA,NA,24,0,NA,NA
"CA612",27306169,21,41.6,37.4,0,6,0.28,0.1
"CA612",27306169,23,39.5,37.5,5,2,0.37,0.15
"CA612",27306169,25,38.5,36.5,15,0.8,0.43,0.2
"CA612",27306169,NA,NA,NA,24,0,NA,NA
"CA612",27306170,24,39.1,36.9,0,7,0.28,0.17
"CA612",27306170,26,38,36,10,3,0.28,0.2
"CA612",27306170,29,34,37,25,2,0.32,0.2
"CA612",27306170,35,33.3,31.7,46,1.5,0.28,0.2
"CA612",27306170,45,26.1,28.9,89,1,0.28,0.2
"CA612",27306170,NA,NA,NA,122,NA,NA,NA
"CA612",27306176,21,41.6,37.4,0,6,0.28,0.1
"CA612",27306176,23,39.5,37.5,5,2,0.37,0.15
"CA612",27306176,25,38.5,36.5,15,0.8,0.43,0.2
"CA612",27306176,NA,NA,NA,24,0,NA,NA
"CA612",27306177,24,39.1,36.9,0,7,0.28,0.17
"CA612",27306177,26,38,36,10,3,0.28,0.2
"CA612",27306177,29,34,37,25,2,0.32,0.2
"CA612",27306177,35,33.3,31.7,46,1.5,0.28,0.2
"CA612",27306177,45,26.1,28.9,89,1,0.28,0.2
"CA612",27306177,NA,NA,NA,122,NA,NA,NA
"CA612",27306182,21,41.6,37.4,0,6,0.28,0.1
"CA612",27306182,23,39.5,37.5,5,2,0.37,0.15
"CA612",27306182,25,38.5,36.5,15,0.8,0.43,0.2
"CA612",27306182,NA,NA,NA,24,0,NA,NA
"CA612",27306183,NA,NA,NA,0,NA,NA,NA
"CA612",27306183,23,44,34,3,6.88,0.2,0.1
"CA612",27306183,25,43,33,10,2.97,0.28,0.15
"CA612",27306183,31,35,34,23,2.3,0.28,0.1
"CA612",27306183,34,32,34,58,1,0.32,0.1
"CA612",27306183,37,32,31,81,1.16,0.32,0.05
"CA612",27306183,NA,NA,NA,107,NA,NA,NA
"CA612",27306189,21,41.6,37.4,0,6,0.28,0.1
"CA612",27306189,23,39.5,37.5,5,2,0.37,0.15
"CA612",27306189,25,38.5,36.5,15,0.8,0.43,0.2
"CA612",27306189,NA,NA,NA,24,0,NA,NA
"CA612",27306190,NA,NA,NA,0,NA,NA,NA
"CA612",27306190,23,44,34,3,6.88,0.2,0.1
"CA612",27306190,25,43,33,10,2.97,0.28,0.15
"CA612",27306190,31,35,34,23,2.3,0.28,0.1
"CA612",27306190,34,32,34,58,1,0.32,0.1
"CA612",27306190,37,32,31,81,1.16,0.32,0.05
"CA612",27306190,NA,NA,NA,107,NA,NA,NA
"CA612",27306197,27,37.4,35.6,0,4,0.28,0.15
"CA612",27306197,29,34,37,5,2,0.32,0.2
"CA612",27306197,35,33.3,31.7,20,1,0.28,0.1
"CA612",27306197,33,34.4,32.6,41,0.8,0.28,0.1
"CA612",27306197,32,34.8,33.2,69,0.5,0.37,0.1
"CA612",27306197,NA,NA,NA,102,NA,NA,NA
"CA612",27306198,31,35.4,33.6,0,4,0.24,0.15
"CA612",27306198,34,33.9,32.1,5,2,0.32,0.17
"CA612",27306198,36,32.7,31.3,13,1,0.32,0.1
"CA612",27306198,NA,NA,NA,20,NA,NA,NA
"CA612",27306203,27,37.4,35.6,0,4,0.28,0.15
"CA612",27306203,29,34,37,5,2,0.32,0.2
"CA612",27306203,35,33.3,31.7,20,1,0.28,0.1
"CA612",27306203,33,34.4,32.6,41,0.8,0.28,0.1
"CA612",27306203,32,34.8,33.2,69,0.5,0.37,0.1
"CA612",27306203,NA,NA,NA,102,NA,NA,NA
"CA612",27306204,31,35.4,33.6,0,4,0.24,0.15
"CA612",27306204,34,33.9,32.1,5,2,0.32,0.17
"CA612",27306204,36,32.7,31.3,13,1,0.32,0.1
"CA612",27306204,NA,NA,NA,20,NA,NA,NA
"CA612",27306208,NA,NA,NA,0,NA,NA,NA
"CA612",27306208,24,39.1,36.9,5,8,0.24,0.1
"CA612",27306208,28,34.4,37.6,15,5,0.28,0.1
"CA612",27306208,30,33.5,36.5,33,3,0.28,0.05
"CA612",27306208,32,34.8,33.2,56,1.5,0.28,0.05
"CA612",27306208,31,54.6,14.4,102,0.8,0.24,0.02
"CA612",27306208,NA,NA,NA,127,0,NA,NA
"CA612",27306215,23,39.5,37.5,0,6,0.28,0.1
"CA612",27306215,26,38,36,5,3,0.28,0.15
"CA612",27306215,28,34.4,37.6,15,1.5,0.32,0.15
"CA612",27306215,30,33.5,36.5,36,1,0.32,0.15
"CA612",27306215,33,34.4,32.6,61,0.8,0.28,0.05
"CA612",27306215,42,28.4,29.6,107,0.8,0.24,0.05
"CA612",27306215,39,30.3,30.7,137,0.8,0.24,0.05
"CA612",27306220,23,39.5,37.5,0,6,0.28,0.1
"CA612",27306220,26,38,36,5,3,0.28,0.15
"CA612",27306220,28,34.4,37.6,15,1.5,0.32,0.15
"CA612",27306220,30,33.5,36.5,36,1,0.32,0.15
"CA612",27306220,33,34.4,32.6,61,0.8,0.28,0.05
