"areasymbol","areaname","mukey","musym","muname","cokey","compname","comppct_r","chkey","hzname","hzdept_r","hzdepb_r","claytotal_r","sandtotal_r","sandvf_r","silttotal_r","om_r","dbthirdbar_r","kffact","kwfact","hydgrp","slope_r"
"CA612","Butte Area, California, Parts of Butte and Plumas Counties",461173,"330","Wilsoncreek-Trainer loams, 0 to 2 percent slopes, occasionally flooded",27304853,"Trainer",25,81503115,"Ap",0,18,23,39.5,11.7,37.5,0.75,1.5,".32",".32","C",1
"CA612","Butte Area, California, Parts of Butte and Plumas Counties",461174,"335","Galt clay loam, 0 to 1 percent slopes",27304865,"Galt",85,81505022,"A",0,15,30,33.3,10,36.7,1.5,1.43,".32",".32","C/D",1
"CA612","Butte Area, California, Parts of Butte and Plumas Counties",461175,"336","Galt clay, 0 to 1 percent slopes",27304879,"Galt",90,81505019,"A1",0,8,45,26.1,7.8,28.9,1.5,1.35,".24",".24","D",1
"CA612","Butte Area, California, Parts of Butte and Plumas Counties",461176,"337","Galt clay loam, 0 to 1 percent slopes, leveled",27304887,"Galt",85,81503131,"A",0,15,30,33.3,10,36.7,1.5,1.43,".32",".32","C/D",1
"CA612","Butte Area, California, Parts of Butte and Plumas Counties",461177,"400","Subaco taxadjunct clay, 0 to 1 percent slopes",27304898,"Subaco taxadjunct",85,81503134,"A",0,20,54,10,5.2,36,2.9,1.2,".20",".20","D",0
"CA612","Butte Area, California, Parts of Butte and Plumas Counties",461178,"415","Ignord fine sandy loam, 0 to 2 percent slopes",27304906,"Ignord",90,81503146,"Akp",0,10,10,68.5,18.5,21.5,3,1.55,".15",".15","A",0.5
"CA612","Butte Area, California, Parts of Butte and Plumas Counties",461179,"418","Almendra loam, 0 to 1 percent slopes",27304924,"Almendra",85,81504324,"Ap1",0,10,23.4,32.2,11.3,44.4,4.6,1.33,".28",".28","B",0.5
"CA612","Butte Area, California, Parts of Butte and Plumas Counties",461181,"420","Conejo clay loam, 0 to 1 percent slopes",27304945,"Conejo",85,81503158,"Ap",0,13,31,35.4,10.6,33.6,5.5,1.45,".24",".24","C",0.5
"CA612","Butte Area, California, Parts of Butte and Plumas Counties",461182,"425","Vina fine sandy loam, sandy substratum, 0 to 2 percent slopes, MLRA 17",27304956,"Vina",85,81505066,"Ap1",0,8,13,70,17.3,17,4.6,1.47,".20",".20","A",0
"CA612","Butte Area, California, Parts of Butte and Plumas Counties",461185,"441","Oxyaquic Xerofluvents very fine sandy loam, 0 to 1 percent slopes",27304992,"Oxyaquic Xerofluvents",90,81503170,"Ap",0,15,18,65.5,54.8,16.5,2,1.5,".49",".49","C",0
"CA612","Butte Area, California, Parts of Butte and Plumas Counties",461186,"445","Chico loam, 0 to 1 percent slopes",27305006,"Chico",85,81503174,"Ap",0,13,23,39.5,11.7,37.5,3.4,1.34,".32",".32","C",0.5
"CA612","Butte Area, California, Parts of Butte and Plumas Counties",461187,"500","Lofgren-Blavo , 0 to 1 percent slopes",27305014,"Lofgren",45,81503180,"Ap",0,13,65.6,6.8,2.4,27.6,2.64,1.06,".10",".10","D",0
"CA612","Butte Area, California, Parts of Butte and Plumas Counties",461187,"500","Lofgren-Blavo , 0 to 1 percent slopes",27305015,"Blavo",40,81503189,"Ap",0,13,65,10.4,3.3,24.6,2.6,1.06,".17",".17","D",0
"CA612","Butte Area, California, Parts of Butte and Plumas Counties",461188,"501","Lofgren-Blavo , 0 to 1 percent slopes, occasionally flooded",27305023,"Lofgren",45,81503199,"Ap1",0,13,65,10.4,3.3,24.6,2.6,1.25,".17",".17","D",0
"CA612","Butte Area, California, Parts of Butte and Plumas Counties",461188,"501","Lofgren-Blavo , 0 to 1 percent slopes, occasionally flooded",27305024,"Blavo",40,81503202,"Ap1",0,15,65,10.4,3.3,24.6,2.6,1.06,".10",".10","D",0
"CA612","Butte Area, California, Parts of Butte and Plumas Counties",461189,"502","Blavo silt loam, 0 to 1 percent slopes, overwash, occasionally flooded",27305032,"Blavo",80,81503212,"Ap",0,18,20,26.5,8.8,53.5,1.5,1.06,".49",".49","D",0
"CA612","Butte Area, California, Parts of Butte and Plumas Counties",461190,"519","Edjobe silty clay, 0 to 1 percent slopes",27305038,"Edjobe",85,81503215,"Ap",0,20,55,3,2.3,42,2.2,1.35,".17",".17","D",0.5
"CA612","Butte Area, California, Parts of Butte and Plumas Counties",461191,"520","Esquon-Neerdobe , 0 to 1 percent slopes",27305042,"Esquon",60,81503220,"Ap",0,13,47,20,7.7,33,2.3,1.29,".17",".17","D",0
"CA612","Butte Area, California, Parts of Butte and Plumas Counties",461191,"520","Esquon-Neerdobe , 0 to 1 percent slopes",27305043,"Neerdobe",30,81503232,"A",0,13,57,12,5.8,31,1.9,1.27,".15",".15","D",0
"CA612","Butte Area, California, Parts of Butte and Plumas Counties",461192,"521","Neerdobe silt loam, 0 to 1 percent slopes, overwash",27305049,"Neerdobe",85,81503239,"Ap",0,18,16,29.7,9.5,54.3,1.5,1.5,".43",".43","B",1
"CA612","Butte Area, California, Parts of Butte and Plumas Counties",461193,"522","Clearlake silty clay loam, 0 to 1 percent slopes, overwash, frequently flooded",27305053,"Clear Lake",80,81503248,"A",0,15,38,18.4,6.4,43.6,1.5,1.3,".32",".32","C/D",0
"CA612","Butte Area, California, Parts of Butte and Plumas Counties",461196,"525","Govstanford loam, 0 to 1 percent slopes",27305066,"Govstanford",85,81503258,"Ap1",0,8,17,43.3,12.2,39.7,1.5,1.5,".32",".32","C",0.5
"CA612","Butte Area, California, Parts of Butte and Plumas Counties",461197,"526","Govstanford loam, 0 to 1 percent slopes, occasionally flooded",27305071,"Govstanford",85,81503265,"Ap1",0,8,17,43.3,12.2,39.7,1.5,1.5,".32",".32","C",0.5
"CA612","Butte Area, California, Parts of Butte and Plumas Counties",461201,"603","Oroville-Thermalito-Fernandez-Thompsonflat complex, 0 to 9 percent slopes",27305076,"Fernandez",15,81504211,"A",0,5,18,66.8,9.8,15.2,1,1.55,".24",".24","C",1
"CA612","Butte Area, California, Parts of Butte and Plumas Counties",461201,"603","Oroville-Thermalito-Fernandez-Thompsonflat complex, 0 to 9 percent slopes",27305077,"Thermalito",25,81504221,"A",0,5,15,65.9,10.4,19.1,1,1.55,".28",".28","C/D",3
"CA612","Butte Area, California, Parts of Butte and Plumas Counties",461201,"603","Oroville-Thermalito-Fernandez-Thompsonflat complex, 0 to 9 percent slopes",27305078,"Oroville",30,81504226,"A",0,5,18,67.7,16.8,14.3,1,1.55,".28",".17","D",3
"CA612","Butte Area, California, Parts of Butte and Plumas Counties",461201,"603","Oroville-Thermalito-Fernandez-Thompsonflat complex, 0 to 9 percent slopes",27305079,"Thompsonflat",15,81504498,"A",0,8,15,68.8,16.9,16.2,1,1.55,".32",".32","C",5
"CA612","Butte Area, California, Parts of Butte and Plumas Counties",461203,"605","Duric Xerarents-Oroville , 0 to 1 percent slopes, leveled",27305091,"Duric Xerarents",75,81503270,"Ap",0,13,18,67.7,16.8,14.3,1,1.55,".32",".32","D",0
"CA612","Butte Area, California, Parts of Butte and Plumas Counties",461203,"605","Duric Xerarents-Oroville , 0 to 1 percent slopes, leveled",27305092,"Oroville",20,81504987,"A",0,5,18,67.7,16.8,14.3,1,1.55,".28",".17","D",0
"CA612","Butte Area, California, Parts of Butte and Plumas Counties",461205,"118","Xerorthents, Tailings and 0 to 50 percent slopes",27305096,"Xerorthents",80,81503599,"A",0,8,16,65.1,10.3,18.9,0.5,1.55,".20",".05","A",3
"CA612","Butte Area, California, Parts of Butte and Plumas Counties",461206,"179","Moda taxadjunct-Arbuckle complex, 0 to 2 percent slopes",27305104,"Moda taxadjunct",45,81503602,"A1",0,5,10,46,12.9,44,0.6,1.5,".55",".55","D",2
"CA612","Butte Area, California, Parts of Butte and Plumas Counties",461206,"179","Moda taxadjunct-Arbuckle complex, 0 to 2 percent slopes",27305107,"Arbuckle",40,81505041,"A1",0,10,20,41.6,12,38.4,0.6,1.5,".37",".24","B",1
"CA612","Butte Area, California, Parts of Butte and Plumas Counties",461207,"178","Arbuckle gravelly loam, 0 to 2 percent slopes, MLRA 17",27305108,"Arbuckle",85,81505061,"A1",0,5,17,43,12.2,40,2,1.4,".37",".20","B",1
"CA612","Butte Area, California, Parts of Butte and Plumas Counties",461208,"301","Wafap-Hamslough , 0 to 2 percent slopes",27305112,"Hamslough",15,81503609,"A1",0,8,50,22.1,5.3,27.9,2.5,1.35,".20",".20","D",0.5
"CA612","Butte Area, California, Parts of Butte and Plumas Counties",461208,"301","Wafap-Hamslough , 0 to 2 percent slopes",27305113,"Wafap",70,81503615,"A",0,3,22,41.1,11.8,36.9,4,1.5,".28",".15","C/D",1
"CA612","Butte Area, California, Parts of Butte and Plumas Counties",461209,"304","Redtough loam, 8 to 35 percent slopes",27305125,"Redtough",80,81503618,"A",0,3,19,42.7,12.3,38.3,1.8,1.5,".37",".37","D",15
"CA612","Butte Area, California, Parts of Butte and Plumas Counties",461210,"303","Munjar-Tuscan taxadjunct-Galt , 0 to 2 percent slopes",27305127,"Munjar",60,81504321,"A",0,5,20,42.1,12.2,37.9,3,1.5,".28",".17","C/D",1
"CA612","Butte Area, California, Parts of Butte and Plumas Counties",461210,"303","Munjar-Tuscan taxadjunct-Galt , 0 to 2 percent slopes",27305128,"Tuscan taxadjunct",20,81504540,"A",0,4,30,33.5,10,36.5,3,1.45,".28",".20","C/D",1
"CA612","Butte Area, California, Parts of Butte and Plumas Counties",461210,"303","Munjar-Tuscan taxadjunct-Galt , 0 to 2 percent slopes",27305129,"Galt",10,81505046,"A1",0,8,45,26.1,7.8,28.9,1.5,1.35,".24",".24","D",1
"CA612","Butte Area, California, Parts of Butte and Plumas Counties",461211,"338","Oxyaquic Xerofluvents silt loam and 0 to 1 percent slopes",27305137,"Oxyaquic Xerofluvents",90,81503669,"Ap",0,15,17,29.3,9.4,53.7,2,1.5,".43",".43","A",0
"CA612","Butte Area, California, Parts of Butte and Plumas Counties",461212,"339","Oxyaquic Xerofluvents sandy loam, 0 to 1 percent slopes and Frequently flooded",27305143,"Oxyaquic Xerofluvents",90,81503667,"A",0,20,15,65.9,10.4,19.1,2,1.55,".20",".20","A",1
"CA612","Butte Area, California, Parts of Butte and Plumas Counties",461213,"340","Rock outcrop-Thermalrocks-Campbellhills , 2 to 15 percent slopes",27305145,"Campbellhills",20,81503649,"A",0,5,15,44.3,12.5,40.7,5,1.5,".32",".17","C/D",5
"CA612","Butte Area, California, Parts of Butte and Plumas Counties",461213,"340","Rock outcrop-Thermalrocks-Campbellhills , 2 to 15 percent slopes",27305147,"Thermalrocks",25,81503657,"A",0,2,16,43.8,12.3,40.2,8,1.5,".32",".15","D",5
"CA612","Butte Area, California, Parts of Butte and Plumas Counties",461213,"340","Rock outcrop-Thermalrocks-Campbellhills , 2 to 15 percent slopes",27305148,"Beatsonhollow",5,81503660,"A",0,5,16,NA,NA,NA,5,NA,NA,NA,NA,5
"CA612","Butte Area, California, Parts of Butte and Plumas Counties",461214,"341","Elsey-Beatsonhollow-Campbellhills-Rock outcrop , 2 to 5 percent slopes",27305153,"Elsey",24,81503632,"A",0,8,16,43.8,12.3,40.2,5,1.5,".32",".32","C/D",3
"CA612","Butte Area, California, Parts of Butte and Plumas Counties",461214,"341","Elsey-Beatsonhollow-Campbellhills-Rock outcrop , 2 to 5 percent slopes",27305155,"Beatsonhollow",26,81503639,"A1",0,8,18,43.2,12.4,38.8,8,1.5,".37",".24","C/D",3
"CA612","Butte Area, California, Parts of Butte and Plumas Counties",461214,"341","Elsey-Beatsonhollow-Campbellhills-Rock outcrop , 2 to 5 percent slopes",27305156,"Campbellhills",21,81503643,"A",0,5,15,44.3,12.5,40.7,5,1.5,".32",".17","C/D",2
"CA612","Butte Area, California, Parts of Butte and Plumas Counties",461215,"342","Thermalrocks-Beatsonhollow taxadjunct-Rock outcrop , 2 to 30 percent slopes",27305162,"Thermalrocks",40,81503623,"A",0,2,16,43.8,12.3,40.2,8,1.5,".32",".15","D",20
"CA612","Butte Area, California, Parts of Butte and Plumas Counties",461215,"342","Thermalrocks-Beatsonhollow taxadjunct-Rock outcrop , 2 to 30 percent slopes",27305163,"Beatsonhollow taxadjunct",35,81503630,"A",0,3,15,68.8,16.9,16.2,6,1.55,".28",".28","C/D",2
"CA612","Butte Area, California, Parts of Butte and Plumas Counties",461217,"443","Durixerolls-haploxerolls loams and 0 to 2 percent slopes",27305168,"Durixerolls",60,81504549,"Ap",0,10,23,39.5,11.7,37.5,2.5,1.5,".32",".32","C/D",1
"CA612","Butte Area, California, Parts of Butte and Plumas Counties",461217,"443","Durixerolls-haploxerolls loams and 0 to 2 percent slopes",27305169,"Haploxerolls",25,81504562,"Ap1",0,13,24,39.1,11.6,36.9,4,1.5,".28",".28","C",1
"CA612","Butte Area, California, Parts of Butte and Plumas Counties",461218,"442","Durixerolls-haploxerolls clay loams and 0 to 2 percent slopes",27305175,"Durixerolls",55,81503676,"Ap",0,15,35,33.3,10,31.7,2.5,1.45,".24",".24","C/D",1
"CA612","Butte Area, California, Parts of Butte and Plumas Counties",461218,"442","Durixerolls-haploxerolls clay loams and 0 to 2 percent slopes",27305181,"Haploxerolls",30,81504557,"Ap",0,13,30,33.5,10,36.5,4,1.45,".24",".24","C",1
"CA612","Butte Area, California, Parts of Butte and Plumas Counties",461219,"606","Redtough-Fallager-Anita, gravelly duripan , 0 to 3 percent slopes",27305184,"Anita",15,81503684,"A",0,8,55,17.1,5.3,27.9,2.5,1.3,".24",".15","D",1
"CA612","Butte Area, California, Parts of Butte and Plumas Counties",461219,"606","Redtough-Fallager-Anita, gravelly duripan , 0 to 3 percent slopes",27305185,"Fallager",30,81503686,"A",0,3,25,38.5,11.4,36.5,5,1.5,".32",".32","D",1
"CA612","Butte Area, California, Parts of Butte and Plumas Counties",461219,"606","Redtough-Fallager-Anita, gravelly duripan , 0 to 3 percent slopes",27305188,"Redtough",45,81505057,"A",0,3,19,42.7,12.3,38.3,1.8,1.5,".37",".37","D",1
"CA612","Butte Area, California, Parts of Butte and Plumas Counties",461224,"609","Anita, gravelly duripan-Tuscan taxadjunct , 0 to 2 percent slopes",27305192,"Anita",50,81504242,"A",0,8,55,17.1,5.3,27.9,2.5,1.3,".24",".15","D",0
"CA612","Butte Area, California, Parts of Butte and Plumas Counties",461224,"609","Anita, gravelly duripan-Tuscan taxadjunct , 0 to 2 percent slopes",27305197,"Tuscan taxadjunct",40,81505051,"A",0,4,30,33.5,10,36.5,3,1.45,".28",".20","C/D",1
"CA612","Butte Area, California, Parts of Butte and Plumas Counties",461227,"714","Dixmine-Toadtown , 50 to 70 percent slopes",27305198,"Dixmine",50,81503694,"A",4,14,24,29,9,47,5.1,1.5,".24",".10","C",60
"CA612","Butte Area, California, Parts of Butte and Plumas Counties",461227,"714","Dixmine-Toadtown , 50 to 70 percent slopes",27305199,"Toadtown",35,81503701,"A",8,13,26,33,6,41,14.8,1.5,".20",".20","C",60
"CA612","Butte Area, California, Parts of Butte and Plumas Counties",461228,"713","Dixmine-Toadtown , 30 to 50 percent slopes",27305207,"Dixmine",50,81503714,"A",4,14,24,29,9,47,5.1,1.5,".24",".10","C",40
"CA612","Butte Area, California, Parts of Butte and Plumas Counties",461228,"713","Dixmine-Toadtown , 30 to 50 percent slopes",27305208,"Toadtown",35,81503721,"A",8,13,26,33,6,41,14.8,1.5,".20",".20","C",40
"CA612","Butte Area, California, Parts of Butte and Plumas Counties",461229,"712","Dixmine-Toadtown , 15 to 30 percent slopes",27305215,"Dixmine",50,81503734,"A",4,14,24,29,9,47,5.1,1.5,".24",".10","C",22
"CA612","Butte Area, California, Parts of Butte and Plumas Counties",461229,"712","Dixmine-Toadtown , 15 to 30 percent slopes",27305216,"Toadtown",40,81503746,"A",8,13,26,33,6,41,14.8,1.5,".20",".20","C",22
"CA612","Butte Area, California, Parts of Butte and Plumas Counties",461230,"711","Dixmine-Toadtown , 3 to 15 percent slopes",27305221,"Dixmine",45,81503750,"A",4,14,24,29,9,47,5.1,1.5,".24",".10","C",8
"CA612","Butte Area, California, Parts of Butte and Plumas Counties",461230,"711","Dixmine-Toadtown , 3 to 15 percent slopes",27305222,"Toadtown",40,81503761,"A",8,13,26,33,6,41,14.8,1.5,".20",".20","C",8
"CA612","Butte Area, California, Parts of Butte and Plumas Counties",461231,"705","Typic Haploxeralfs, magnesic-Earlal-Cerpone-Rock outcrop complex, 50 to 80 percent slopes",27305227,"Cerpone",15,81503772,"A",4,9,18,38,8,44,6.8,1.5,".32",".20","C",60
